artist,genre
Abhay Jodhpurkar,tamil pop
The Walkers,Unknown
Ajay-Atul,marathi pop
dvsn,alternative r&b
Nipsey Hussle,west coast hip hop
Mankirat Aulakh,bhangra
The Animals,classic rock
David Sandhu,punjabi hip hop
Calum Scott,soft pop
Shovon Jaman,Unknown
The Yellow Diary,indian indie
Gunna,melodic rap
Mitraz,indian indie
Desiigner,Unknown
2Pac,gangster rap
Janji,Unknown
Halsey,Unknown
Ice Cube,gangster rap
Ankit Tiwari,bollywood
Jawad Ahmad,bollywood
Jeet-Pritam,bollywood
Kalyanji-Anandji,ghazal
Madan Mohan,bollywood
Babbu Maan,bhangra
Vital Signs,desi
Yasir Soharwardi,qawwali
Laiba Fatima,qawwali
Shafqat Amanat Ali Fakhir,Unknown
Shahnaz Begum,ghazal
Arifa Siddiqi,ghazal
Muhammad Ali Shyhaki,Unknown
Mehnaz,ghazal
Shehzad Roy,desi
Rahat Gaba,qawwali
Priyanka Goyat,haryanvi pop
QARAN,bollywood
Mamta Sharma,bollywood
SULTAN UL QADRIA QAWWAL,qawwali
Mehmood Ul Hassan Ashrafi,qawwali
Vineet Mishra,Unknown
Khudgharz Official,Unknown
Sean Paul,dancehall
Alessia Cara,Unknown
DNCE,Unknown
Julia Michaels,Unknown
Inanna,Unknown
Four of Diamonds,Unknown
Hannah Jane Lewis,Unknown
Kate Bush,art pop
Teriyaki Boyz,Unknown
Cheriimoya,Unknown
Yasser Desai,bollywood
Sukhwinder Singh,bollywood
The Local Train,indian indie
The Score,Unknown
BONES,dark trap
Elley Duhé,Unknown
Lil Rae,Unknown
Darci,Unknown
Egzod,Unknown
Bobby-Imran,bollywood
Arjun,Unknown
Rekha Bhardwaj,bollywood
Anne-Marie,Unknown
Tanveer Evan,bangla pop
Jack & Jack,surf rock
Parth S. Bhalerao,Unknown
Emiway Bantai,hindi hip hop
Sabrina Claudio,Unknown
Çağatay Akman,turkish pop
Pranay.M. Rijia,Unknown
Roxen Band,Unknown
Saemy,hindi hip hop
Dybbukk,Unknown
itssvd,Unknown
Mr.Kitty,witch house
Sierra Kidd,german hip hop
Armani White,Unknown
Umer Farooq,indian indie
Poorvesh Dave,gujarati pop
Soch the Band,sufi
Abdul Hannan,indian indie
Kaifi Khalil,desi
Hassan & Roshaan,indian indie
HYDR,indian indie
Marshall Ahmad,indian indie
Janzeb,Unknown
uzairkay,hindi indie
Faisal Wadood,bangla pop
Mooroo,indian indie
Aaroh,indian indie
Gulam Jugni,sufi
LISA,k-pop
Internet Money,Unknown
JACKBOYS,Unknown
Lil Mosey,melodic rap
Naguale,Unknown
Rudimental,Unknown
Macklemore & Ryan Lewis,Unknown
Pop Smoke,brooklyn drill
Polo G,Unknown
ILLENIUM,melodic bass
JNR CHOI,Unknown
Tiësto,edm
Roddy Ricch,melodic rap
TELYKAST,Unknown
Alok,brazilian bass
Key Glock,memphis rap
SomeWhatSuper,desi
Zarsanga,Unknown
Labrinth,Unknown
Geek Music,anime
Akash Das,Unknown
